id,title,genres,description,year
2872,La La Land Chronicles 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1985
2873,The Shawshank Redemption Saga 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 6 of an extended cinematic universe with new characters and plot twists.",1997
2874,The Shawshank Redemption Odyssey 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 1 of an extended cinematic universe with new characters and plot twists.",1993
2875,Interstellar Uprising 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1972
2876,The Matrix Returns 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1979
2877,Inside Out Rebirth 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2025
2878,Inside Out Legacy 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 2 of an extended cinematic universe with new characters and plot twists.,1981
2879,Interstellar Uprising 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,1983
2880,Inside Out Saga 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,1981
2881,The Shawshank Redemption Rebirth 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",2021
2882,Interstellar Uprising 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1987
2883,Inside Out Genesis 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 6 of an extended cinematic universe with new characters and plot twists.,1973
2884,Parasite Reimagined 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1996
2885,The Godfather Rebirth 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1984
2886,The Matrix Rebirth 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 8 of an extended cinematic universe with new characters and plot twists.,2019
2887,The Godfather Saga 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,1997
2888,Inception Chronicles 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,2007
2889,The Godfather Reimagined 8,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,2022
2890,Inception Reimagined 4,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 3 of an extended cinematic universe with new characters and plot twists.,1987
2891,The Matrix Legacy 3,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,1976
2892,The Social Network Uprising 1,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2020
2893,The Matrix Uprising 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,2004
2894,Inception Saga 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 9 of an extended cinematic universe with new characters and plot twists.,1972
2895,The Godfather Chronicles 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,2008
2896,Inception Saga 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,1978
2897,The Shawshank Redemption Genesis 6,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 9 of an extended cinematic universe with new characters and plot twists.",1990
2898,Parasite Uprising 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,1978
2899,The Social Network Legacy 9,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1978
2900,The Godfather Genesis 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,2002
2901,Interstellar Saga 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,1985
2902,The Godfather Genesis 8,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,1987
2903,The Green Mile Rebirth 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,1971
2904,Interstellar Saga 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2021
2905,Interstellar Rebirth 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,2002
2906,La La Land Returns 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2018
2907,The Godfather Eclipse 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,1982
2908,The Matrix Saga 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,1997
2909,The Shawshank Redemption Rebirth 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",1983
2910,The Matrix Returns 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2011
2911,Inside Out Legacy 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1971
2912,The Matrix Reimagined 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,2009
2913,Inside Out Uprising 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 6 of an extended cinematic universe with new characters and plot twists.,2019
2914,The Godfather Legacy 6,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,2012
2915,Interstellar Eclipse 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2021
2916,Inception Odyssey 4,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,1996
2917,Interstellar Uprising 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,1974
2918,The Shawshank Redemption Returns 5,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 1 of an extended cinematic universe with new characters and plot twists.",1993
2919,The Social Network Eclipse 3,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1989
2920,The Social Network Chronicles 6,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1974
2921,The Godfather Uprising 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,1997
2922,Parasite Saga 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,1996
2923,Parasite Chronicles 7,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1991
2924,La La Land Chronicles 9,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2017
2925,Inside Out Chronicles 7,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,2017
2926,The Godfather Odyssey 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,2011
2927,The Matrix Reimagined 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1982
2928,Interstellar Chronicles 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2014
2929,The Matrix Reimagined 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,2000
2930,The Green Mile Chronicles 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2002
2931,Inception Genesis 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 3 of an extended cinematic universe with new characters and plot twists.,2005
2932,Parasite Eclipse 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,2021
2933,Parasite Genesis 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,1999
2934,The Green Mile Returns 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 8 of an extended cinematic universe with new characters and plot twists.,1990
2935,The Shawshank Redemption Returns 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 2 of an extended cinematic universe with new characters and plot twists.",1988
2936,The Social Network Legacy 7,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2021
2937,The Green Mile Legacy 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 1 of an extended cinematic universe with new characters and plot twists.,2024
2938,The Green Mile Uprising 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,2013
2939,The Green Mile Legacy 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1980
2940,The Shawshank Redemption Odyssey 9,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",1994
2941,The Social Network Eclipse 3,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1978
2942,La La Land Legacy 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1994
2943,The Green Mile Uprising 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1992
2944,Inside Out Uprising 7,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,1989
2945,La La Land Chronicles 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1997
2946,The Social Network Returns 1,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1994
2947,The Godfather Odyssey 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,1981
2948,The Shawshank Redemption Reimagined 4,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",2016
2949,Inception Eclipse 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,2008
2950,The Social Network Returns 6,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,1979
2951,Inception Chronicles 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 9 of an extended cinematic universe with new characters and plot twists.,1991
2952,Inside Out Chronicles 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 8 of an extended cinematic universe with new characters and plot twists.,2008
2953,La La Land Eclipse 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1985
2954,Parasite Uprising 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2000
2955,Inception Legacy 9,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,2023
2956,Parasite Reimagined 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,2014
2957,The Green Mile Odyssey 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1980
2958,Inception Returns 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2004
2959,The Godfather Eclipse 8,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,2019
2960,Parasite Rebirth 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,2016
2961,Inception Rebirth 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,2008
2962,The Social Network Legacy 7,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2017
2963,Inside Out Chronicles 7,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1994
2964,The Shawshank Redemption Odyssey 5,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 6 of an extended cinematic universe with new characters and plot twists.",2000
2965,Parasite Saga 7,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,2002
2966,The Green Mile Legacy 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1997
2967,The Social Network Returns 3,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2014
2968,Inside Out Chronicles 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,1985
2969,Interstellar Legacy 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,1994
2970,The Godfather Rebirth 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,1994
2971,Inception Odyssey 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 6 of an extended cinematic universe with new characters and plot twists.,1992
2972,The Matrix Chronicles 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,2011
2973,The Green Mile Genesis 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,2008
2974,The Green Mile Genesis 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1979
2975,La La Land Eclipse 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2025
2976,The Green Mile Returns 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,2012
2977,Inside Out Reimagined 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,1990
2978,Inception Odyssey 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2022
2979,The Green Mile Uprising 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1993
2980,La La Land Reimagined 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,2014
2981,The Matrix Eclipse 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,1992
2982,The Social Network Saga 2,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2007
2983,Inside Out Saga 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2007
2984,The Shawshank Redemption Genesis 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 9 of an extended cinematic universe with new characters and plot twists.",2011
2985,The Matrix Genesis 3,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1971
2986,The Godfather Reimagined 6,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1997
2987,La La Land Rebirth 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2010
2988,The Green Mile Odyssey 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1970
2989,The Shawshank Redemption Chronicles 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 8 of an extended cinematic universe with new characters and plot twists.",1987
2990,The Matrix Returns 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,2016
2991,The Green Mile Reimagined 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 4 of an extended cinematic universe with new characters and plot twists.,2023
2992,The Green Mile Rebirth 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,2008
2993,Inception Genesis 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,2003
2994,La La Land Odyssey 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1986
2995,The Social Network Uprising 5,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1971
2996,Parasite Legacy 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,2000
2997,La La Land Returns 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 9 of an extended cinematic universe with new characters and plot twists.,1987
2998,Inception Legacy 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 3 of an extended cinematic universe with new characters and plot twists.,2007
2999,Inside Out Rebirth 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1988
3000,Interstellar Uprising 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2017
3001,The Matrix Genesis 3,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,1994
3002,The Godfather Genesis 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1973
3003,The Godfather Returns 4,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,2007
3004,Inception Rebirth 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,1994
3005,The Green Mile Chronicles 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,1999
3006,The Matrix Rebirth 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2017
3007,The Godfather Odyssey 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,1995
3008,The Godfather Chronicles 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,2017
3009,The Green Mile Uprising 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1994
3010,The Matrix Reimagined 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,1977
3011,The Shawshank Redemption Legacy 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 1 of an extended cinematic universe with new characters and plot twists.",1989
3012,The Matrix Returns 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 9 of an extended cinematic universe with new characters and plot twists.,2010
3013,The Matrix Genesis 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,1988
3014,La La Land Reimagined 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2017
3015,The Godfather Eclipse 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1981
3016,La La Land Genesis 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1995
3017,The Shawshank Redemption Rebirth 4,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",2020
3018,Interstellar Chronicles 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1979
3019,The Social Network Genesis 5,Drama,The founding of Facebook and its legal battles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1999
3020,The Social Network Eclipse 3,Drama,The founding of Facebook and its legal battles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1973
3021,The Matrix Odyssey 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1973
3022,The Green Mile Chronicles 2,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1981
3023,Interstellar Reimagined 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2017
3024,La La Land Rebirth 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1981
3025,Inside Out Legacy 7,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,2025
3026,The Matrix Odyssey 3,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,2005
3027,Inception Genesis 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,1976
3028,The Godfather Reimagined 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1998
3029,The Social Network Rebirth 1,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1970
3030,La La Land Odyssey 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,2014
3031,The Matrix Eclipse 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,1982
3032,La La Land Chronicles 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1985
3033,The Social Network Uprising 8,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,2013
3034,Inception Legacy 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,1974
3035,The Green Mile Rebirth 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,1972
3036,La La Land Chronicles 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1975
3037,Interstellar Legacy 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1978
3038,The Shawshank Redemption Legacy 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",1998
3039,Parasite Odyssey 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1998
3040,The Social Network Genesis 6,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,1987
3041,The Matrix Odyssey 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,1999
3042,Inception Uprising 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,1974
3043,Parasite Eclipse 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,2019
3044,The Shawshank Redemption Chronicles 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 2 of an extended cinematic universe with new characters and plot twists.",2007
3045,The Green Mile Eclipse 2,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1978
3046,Parasite Rebirth 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1997
3047,La La Land Legacy 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2001
3048,The Shawshank Redemption Saga 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 2 of an extended cinematic universe with new characters and plot twists.",1983
3049,Parasite Chronicles 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 1 of an extended cinematic universe with new characters and plot twists.,2018
3050,Interstellar Odyssey 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2012
3051,Interstellar Legacy 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,2005
3052,The Social Network Chronicles 6,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2011
3053,The Matrix Reimagined 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1977
3054,The Social Network Genesis 3,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,2002
3055,Inception Rebirth 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 6 of an extended cinematic universe with new characters and plot twists.,1995
3056,The Social Network Eclipse 1,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,2020
3057,Interstellar Saga 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,2001
3058,Interstellar Returns 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,2008
3059,Parasite Genesis 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,2001
3060,Parasite Chronicles 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,1978
3061,The Green Mile Eclipse 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1971
